BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_10,IF_ELSE,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_10,IF_END,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_10,IF_ELSE
DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_10,IF_HP
DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_10,IF_END
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_3,DIVIDE_4,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_2,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,DIVIDE_2,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,DIVIDE_10,FLY_DOWNWARDS
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,ADD_TRIGGER
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_10
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_2
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_3
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_4
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,IF_ELSE
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,IF_HP
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,IF_END
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,TAU
BURST_8,DIVIDE_4,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS
BURST_8,IF_ELSE,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,BLACK_HOLE#0,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,IF_END,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_10,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_3,DIVIDE_4,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS,IF_ELSE
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS,IF_HP
TAU,DIVIDE_4,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS,IF_END
